"houjin_bangou","code","name","name_full","url"
"8290001025068","293","カーサ・フェミニナ教育研究所","株式会社カーサ・フェミニナ教育研究所","https://www.casa-feminina.com"
"8290001025068","298","カーサ・フェミニナ教育研究所","株式会社カーサ・フェミニナ教育研究所","https://www.casa-feminina.com"
"6010701028507","292","ブックビヨンド","株式会社ブックビヨンド","https://bpub.jp"
NA,"294","_グレイプス",NA,NA
"3011001102806","8443","クロスメディア・ランゲージ","株式会社クロスメディア・ランゲージ","https://www.cm-language.co.jp"
"3011001102806","295","クロスメディア・ランゲージ","株式会社クロスメディア・ランゲージ","https://www.cm-language.co.jp"
"9010001126388","8443","エムディエヌコーポレーション","株式会社エムディエヌコーポレーション","https://books.mdn.co.jp"
"9010001126388","295","エムディエヌコーポレーション","株式会社エムディエヌコーポレーション","https://books.mdn.co.jp"
"7010001089959","8443","インプレス","株式会社インプレス","https://www.impress.co.jp"
"7010001089959","295","インプレス","株式会社インプレス","https://www.impress.co.jp"
"3011001045889","8443","クロスメディア・パブリッシング","株式会社クロスメディア・パブリッシング","https://www.cm-publishing.co.jp"
"3011001045889","295","クロスメディア・パブリッシング","株式会社クロスメディア・パブリッシング","https://www.cm-publishing.co.jp"
"4010401060159","8222","日経BP","株式会社日経ビーピー","https://www.nikkeibp.co.jp"
"4010401060159","296","日経BP","株式会社日経ビーピー","https://www.nikkeibp.co.jp"
"9011101044934","87408","技術評論社","株式会社技術評論社","https://gihyo.jp"
"9011101044934","7741","技術評論社","株式会社技術評論社","https://gihyo.jp"
"9011101044934","297","技術評論社","株式会社技術評論社","https://gihyo.jp"
NA,"931466","_日経BP企画",NA,NA
NA,"86130","_日経BP企画",NA,NA
NA,"86153","_日経BPクリエーティブ",NA,NA
NA,"8229","_日経BP販売",NA,NA
"3010002009044","305","笠間書院","有限会社笠間書院","https://kasamashoin.jp"
"9010001128277","306","鹿島出版会","株式会社鹿島出版会","https://www.kajima-publishing.co.jp"
"4010001097626","307","金原出版","金原出版株式会社","https://www.kanehara-shuppan.co.jp"
"3011001005876","309","河出書房新社","株式会社河出書房新社","https://www.kawade.co.jp/np/index.html"
"8010001013827","313","学陽書房","株式会社学陽書房","http://www.gakuyo.co.jp"
"4011101005131","314","紀伊國屋書店出版部","株式会社紀伊國屋書店","https://www.kinokuniya.co.jp"
"1011001061129","315","ニュートンプレス","株式会社ニュートンプレス","https://www.newtonpress.co.jp"
"4010001002172","320","共立出版","共立出版株式会社","https://www.kyoritsu-pub.co.jp"
"7011105004804","322","一般社団法人金融財政事情研究会","一般社団法人金融財政事情研究会","https://www.kinzai.or.jp"
"8010501003022","323","金の星社","株式会社金の星社","https://www.kinnohoshi.co.jp"
"2130001051804","325","教学社","株式会社世界思想社教学社ホールディング","https://akahon.net"
"5010001002394","326","勁草書房","株式会社勁草書房","https://www.keisoshobo.co.jp"
"5011101006277","7674","研究社","株式会社研究社","https://www.kenkyusha.co.jp/"
"5011101006277","327","研究社","株式会社研究社","https://www.kenkyusha.co.jp/"
"7010001076775","87513","交通新聞社","株式会社交通新聞社","https://www.kotsu.co.jp"
"7010001076775","330","交通新聞社","株式会社交通新聞社","https://www.kotsu.co.jp"
